,Package_Type,Duration_Days,Duration_Nights,Starting_Location,Destination_Cities,Destination_Cities_Count,Included_Activities,Hotel_Ratings,Original_Price_INR,Deal_Price_INR,Discount_Percentage
505,Udaipur Mount Abu Tour Package,5,4,Udaipur,"Udaipur ,Mount Abu ",2,Adventure Sightseeing Nature,3,18094,15000,17
506,Explore Gangtok & orth Sikkim,8,7,Gangtok,"Gangtok ,Lachen ,Lachung ,Darjeeling ",4,Waterfalls Adventure Picturesque sights Nature Lakes Waterfall ,2,61900,56948,8
507,ortheast Tour Package,5,4,Shillong,"Shillong ,Cherrapunjee ,Guwahati ",3,Adventure Sightseeing Nature,3,15948,14500,9
508,Shimla Tour Package,5,4,Shimla,"Shimla ,New Delhi ",2,Kali  Tibba Nature Jakhu  Temple Adventure ,3,26595,24999,6
509,Ooty Tour Package,3,2,Ooty,Ooty ,1,Adventure Nature Hill station Budget,2,16418,15433,6
510,Ladakh Tour Package,8,7,Leh,"Leh ,Hunder ,Pangong ",3,Gurudwara  Pathar  Sahib Adventure Khardungla  Pass ,3,38709,35999,7
511,Thrilling ehru Trophy Boat Race Package,3,2,Alleppey,Alleppey ,1,Nature Historical,3,9000,7200,20
512,Karnataka: A Spellbinding Experience,3,2,Coorg,Coorg ,1,  Arrival Hill station Forest  Trail Water  ,5,23461,21350,9
513,Alleppey Tour Package,2,1,Alleppey,Alleppey ,1,Golden beaches Adventure City  Tour Nature Beach ,3,7533,6930,8
514,Stupendous Manali Independence ay Package,4,3,Manali,Manali ,1,Adventure Hill station Nature,3,11813,10999,7
515,A Voyage into Serenity: Kerala Tour,6,5,Munnar,"Munnar ,Thekkady ,Alleppey ,Cochin ",4,Green  Valley Adventure Beach Nature Lakeslandscape ,4,19491,18127,7
516,Invigorating Karnataka Honeymoon,6,5,Ooty,"Ooty ,Kodaikanal ",2,Ideal for couples Adventure Sightseeing Nature Road  Trip ,3,22366,20129,10
517,Joyous Kerala Tour Package,6,5,Munnar,"Munnar ,Alleppey ,Kovalam ",3,  Analothbhave  Mathe  Church Hill station Halcyon  ,3,17177,15116,12
518,Wonderful Kerala Family Package,4,3,Munnar,"Munnar ,Alleppey ",2,Backwaters Adventure Jungle  Safari Nature Waterfalls ,3,12263,11159,9
519,Picture Perfect Family Trip of Kerala,7,6,Cochin,"Cochin ,Munnar ,Thekkady ,Alleppey ",4,Adventure Nature Sightseeing Cruises Hill station Houseboat  ,3,21978,20000,9
520,Kumarakom Houseboat Package,5,4,Kovalam,"Kovalam ,Kumarakom ",2,Adventure Nature Sightseeing Budget,3,17184,15809,8
521,Paradisiacal Honeymoon,5,4,Munnar,"Munnar ,Thekkady ,Alleppey ",3,  Arrival Water  Activities Sightseeing Adventure ,3,18681,17000,9
522,Lansdowne: The Perfect Retreat,2,1,Lansdowne,Lansdowne ,1,Adventure Jungle  Trail Shopping Nature Hill station ,3,6923,6300,9
523,Rameshwaram Sightseeing Tour Package,3,2,Rameshwaram,Rameshwaram ,1,Hanuman  Temple Religious Architecture Historical Pamban  ,2,15484,14090,9
524,Munnar Local Tour Package,3,2,Munnar,Munnar ,1,Hill station Nature Mountains,3,7446,6999,6
525,Spellbinding Lansdowne Tour Package,2,1,Lansdowne,Lansdowne ,1,Sightseeing Hill station Nature Religious Family  Trip ,3,9701,8925,8
526,Golden Triangle Special Offer Trip Package,6,5,Agra,"Agra ,Jaipur ,New Delhi ",3,Adventure Sightseeing Monuments,3,20265,15999,21
527,Spellbinding Coorg Family Tour Package,6,5,Ooty,"Ooty ,Coorg ",2,Wax  World Nature Deer  Park Mudumalai  ,4,37538,34160,9
528,Golden Triangle  Star Tour Package,6,5,New Delhi,"New Delhi ,Agra ,Jaipur ",3,Adventure Nature Religious Luxury,5,117391,108000,8
529,Mesmerizing Ooty Honeymoon,3,2,Ooty,Ooty ,1,Nature Adventure Coonoor Hill station Mysore  Palace ,3,18098,16469,9
530,Port Blair City Tour Package,3,2,Port Blair,Port Blair ,1,Adventure Water  Activities Island Budget,4,18505,17210,7
531,Sikkim Adventurous Tour Package,6,5,Gangtok,"Gangtok ,Lachen ,Lachung ",3,Valleys Adventure Waterfalls Nature Mountains  V ,3,57100,52532,8
532,Splendid Goa Tour Package,3,2,Goa,Goa ,1,Fort  Aguada Adventure Calangute  Beach Water  ,3,9032,8400,7
533,Joyous Kodaikanal Tour Package,7,6,Coorg,"Coorg ,Ooty ,Kodaikanal ",3,Coorg sightseeing Adventure Ooty Nature Coonoor Hill station ,3,30164,27449,9
534,Scintillating orth-East Family Tour,6,5,Darjeeling,"Darjeeling ,Gangtok ",2,Mt.  Kanchendzonga Teesta  River Hanuman  Tok ,2,64704,58234,10
535,Enchanting Mussoorie Family Package,8,7,Dehradun,"Dehradun ,Auli ,Mussoorie ,Dhanaulti ",4,Deer  Park Adventure Skiing Nature Road  ,3,45000,40950,9
536,Fully Explore Godâs Own Country,6,5,Munnar,"Munnar ,Thekkady ,Alleppey ,Kovalam ",4,Waterfalls Houseboat  Stay Adventure Tea  Estate ,3,19538,17780,9
537,Gangtok Tour Package,3,2,Gangtok,Gangtok ,1,Adventure Nature Hill station Luxury,5,79836,75046,6
538,Super-fun Family Holiday in Kovalam Kerala,5,4,Cochin,"Cochin ,Kumarakom ,Kovalam ",3,Adventure Nature Sightseeing Cruises Backwaters Family ,3,14983,13485,10
539,epal Family Tour Package,7,6,POKHARA,"POKHARA ,kathmandu ,Sauraha ,Gorakhpur ",4,Adventure Hill station Wildlife Mountains  Nature Cultural ,3,28241,25699,9
540,Sikkim Tour Package,5,4,Gangtok,"Gangtok ,Darjeeling ",2,Hill  Station Nature Lake Hill station Mountains  ,4,61859,57529,7
541,Leh Ladakh Road Trip Package,10,9,Manali,"Manali ,Jispa ,Leh ,Nubra Valley ,Pangong ",5,Hadimba  Temple Adventure Gurudwara  Pathar  Sahib ,3,48912,44999,8
542,Lansdowne Tour Package,3,2,Lansdowne,Lansdowne ,1,Bhulla  Taal  Lake Adventure Hills Nature ,3,9596,8924,7
543,Rajasthan Tour Package,8,7,New Delhi,"New Delhi ,Agra ,Ranthambore ,Jaipur ",4,National  Monument Nature Forts Adventure Religious  ,3,45161,42000,7
544,An Enjoyable Himachal Family Trip,6,5,Shimla,"Shimla ,Manali ",2,Mall  Road Hill station Churches Religious Rohtang  ,3,37978,34560,9
545,ivine Himachal Trip Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ,Khajjiar ",5,Adventure Ayurvedic Hill station Nature Sightseeingshopping Water  ,4,32026,29144,9
546,arjeeling Tour Package,6,5,Gangtok,"Gangtok ,Darjeeling ",2,Tsomgo  Lake Nature Teesta  River Adventure ,4,41986,39047,7
547,Romantic Manali Tour Package,5,4,Manali,Manali ,1,Manali Religious Solang  Valley Adventure Rohtang  ,3,34813,31680,9
548,An Enjoyable Munnar Family Trip,3,2,Munnar,Munnar ,1,Mattupetty  Dam Hill station Echo  Point Adventure ,3,8789,7998,9
549,Best-Selling Tirupati  ay Package,2,1,Tirupati,Tirupati ,1,Nature Religious Historical Budget,3,12135,11407,6
550,Andaman Tour Package,4,3,Port Blair,"Port Blair ,Havelock ",2,Cellular  Jail  Water  Activities Chidiya  Tapu ,3,16663,15497,7
551,Captivating Munnar Kovalam Family Tour ,5,4,Munnar,"Munnar ,Kovalam ",2,Nature Hill station Unlimited adventure Hill  Station Adventure ,3,12723,11196,12
552,Astounding Uttarakhand Tour Package,5,4,Mussoorie,"Mussoorie ,Rishikesh ,Haridwar ",3,Kempty  Falls Mall  Road George  Everest hill ,3,15806,14700,7
553,Kovalam and Kumarakom Houseboat Tour Package,5,4,Kovalam,"Kovalam ,Kumarakom ",2,Sightseeing Hill station Nature Houseboat Leisure  Time ,3,14818,13484,9
554,Ecstatic Goa Honeymoon,3,2,Goa,Goa ,1,Fort  Aguada Adventure Calangute  Beach Water  ,4,10752,9999,7
555,Jammu And Kashmir Special Tour Package,4,3,Pahalgam,"Pahalgam ,Gulmarg ,Srinagar ",3,Leisure  Day Adventure Sightseeing Nature Hill station ,4,31868,29000,9
556,Enchanting haramshala Tour Package,4,3,Dharamshala,Dharamshala ,1,Sightseeing Adventure Nature Waterfalls Hill station Temples ,2,22328,19872,11
557,A Rejuvenating Escape To Shimla,5,4,Shimla,Shimla ,1,  Arrival Adventure Sightseeing Nature Hill  ,2,25761,23443,9
558,Relaxing Weekend: Lansdowne iaries,2,1,Lansdowne,Lansdowne ,1,Jungle  Trail Adventure Gandhi  Chowk Hill station ,3,7338,6824,7
559,Romantic Athirapally Honeymoon,8,7,Athirapally,"Athirapally ,Munnar ,Alleppey ,Kovalam ",4,Tea plantations Hill station Padmanabhaswamy  Temple Wildlife Mattupetty  ,3,27900,25110,10
560,South Sikkim Tour Package,5,4,Gangtok,Gangtok ,1,Nature Tsomgo  Lake Namchi  Hill Adventure ,3,38327,36027,6
561,Andaman Tour Package,8,7,Port Blair,"Port Blair ,Havelock Island ,Neil Island ",3,Breakfast Nature Water  Activities Cruises Sightseeing ,3,25615,23310,9
562,Chennai Honeymoon,2,1,Mahabalipuram,Mahabalipuram ,1,Caves Adventure Krishna temple Nature Art &  Architecture ,3,12535,11407,9
563,elightful elhi Tour,6,5,New Delhi,"New Delhi ,Agra ,Jaipur ",3,Historical  Sightseeing Hill station Forts Adventure Road journey ,4,18681,17000,9
564,Best Selling ainital Holidays For A Memorable Experience,4,3,Jim Corbett,"Jim Corbett ,Nainital ",2,Jeep  Safari Nature Lakes Adventure Temples  ,3,12365,11499,7
565,Holiday Package,3,2,Kodaikanal,Kodaikanal ,1,Shopping Water  Activities Sightseeing Adventure Leisure  ,3,16758,15250,9
566,Charismatic Mount Abu Family Tour Package,4,3,Udaipur,"Udaipur ,Mount Abu ",2,Lake  Picholalake visit Dilwara  Jain  Temple Nakki  ,3,10989,10000,9
567,Kullu Manali Volvo Tour Package,4,3,Manali,Manali ,1,Adventure Nature Hill station Budget,3,10326,9500,8
568,Amazing Karnataka Tour Package,5,4,Coorg,"Coorg ,Ooty ",2,Rajaâs  Seat Dolphin  Nose Simâs  Park ,3,15384,13999,9
569,Mahabaleshwar Panchgani Sightseeing Tour Package,4,3,Mahabaleshwar,Mahabaleshwar ,1,Hills Adventure Sightseeing Nature Forts F ,4,23626,21500,9
570,Ladakh Tour Package,7,6,Leh,"Leh ,Hunder ,Pangong ",3,Gurudwara  Pathar  Sahib Adventure Pangong  Lake ,3,32256,29998,7
571,Gangtok Tour Package,5,4,Gangtok,Gangtok ,1,Tsomgo  Lake Adventure Baba  Mandir Nature ,3,58109,54041,7
572,arjeeling Gangtok Family Tour Package,6,5,Darjeeling,"Darjeeling ,Gangtok ",2,Tsomgo  Lake Nature Ganesh  Tok Adventure ,3,56688,53287,6
573,Whimsical Honeymoon,3,2,Kodaikanal,Kodaikanal ,1,Sightseeing Adventure Shopping Nature Leisure  Time ,4,19439,17689,9
574,Best eal Goa Tour Package,4,3,Goa,Goa ,1,Adventure Sightseeing Nature,3,19800,18000,9
575,Idyllic Manali Family Package,4,3,Manali,Manali ,1,Rohtang  Pass Historical Solang  Valley Adventure ,2,11472,10440,9
576,A Simple and Serene Tamil adu Tour Package,4,3,Ooty,Ooty ,1,Nature Hill station Mountains  Historic Waterfall Temples ,3,22120,20129,9
577,Goa Tour Package,3,2,Goa,Goa ,1,Aguada  Fort Naturecoco beach Adventure Anjuna  Beach ,4,11086,10199,8
578,Heavenly Jammu And Kashmir Family Package,5,4,Srinagar,"Srinagar ,Sonmarg ",2,Shikara  Ride Hill station Sightseeing Water  Activities ,4,46154,42000,9
579,Marvelous Munnar Family Package,3,2,Munnar,Munnar ,1,Hill  Station Water  Activities Sightseeing Adventure ,3,8789,7998,9
580,South India Budget Tour Package,3,2,Coorg,"Coorg ,Bangalore ",2,Adventure Nature Sightseeing Budget,3,15873,14762,7
581,Thrilling Leh Ladakh Family Tour Package,8,7,Srinagar,"Srinagar ,Kargil ,Leh ,Nubra Valley ",4,Ideal for families Nature Adventure Himalayas Hill station Historical  ,2,35554,31999,10
582,Shimla Manali Tour Package,6,5,Shimla,"Shimla ,Manali ",2,Adventure Hill station Nature Budget,3,18279,16999,7
583,Enchanting Rajasthan Family Tour Package,6,5,Jaipur,"Jaipur ,Pushkar ,Ranthambore ",3,Majestic  View Camel  Ride Elephant rides Shopping ,4,28571,26000,9
584,Ladakh Tour Package,4,3,Leh,"Leh ,Pangong ,Ladakh ",3,Pangong  Lake Adventure Magnetic  Hill Nature ,3,20429,18999,7
585,Gangtok Tour Package,4,3,Gangtok,Gangtok ,1,Adventure  Activities Nature Monasteries Adventure Mountains  ,4,28437,26731,6
586,Lovely Lansdowne Tour Package,2,1,Lansdowne,Lansdowne ,1,Nature Hill station Adventure Shopping Trekking Sightseeing ,3,6923,6300,9
587,Marvelous Honeymoon,4,3,Munnar,"Munnar ,Alleppey ",2,Scenic  Beauty Tea plantations Nature Shopping Wildlife ,3,14106,12836,9
588,Scintillating Kanyakumari-Kovalam Honeymoon,4,3,Kovalam,"Kovalam ,Kanyakumari ",2,Romantic Nature Unlimited adventure City  Tour Beach  ,3,10885,9797,10
589,Best Andaman     Tour Package,3,2,Port Blair,"Port Blair ,Havelock ",2,Beaches Adventure Snorkeling Water  Activities Scuba- ,3,15505,14265,8
590,Kerala Tour Package,7,6,Munnar,"Munnar ,Thekkady ,Alleppey ,Kovalam ",4,Beach Historical Waterfalls Adventure Tea  Museum ,3,20987,19728,6
591,Best Selling Gangtok Getaways For A Refreshing Break,3,2,Gangtok,Gangtok ,1,Nathula  Pass Adventure Tsomgo  Lake Hill station ,3,23931,22017,8
592,Ecstatic Shimla Family Package,4,3,Shimla,Shimla ,1,Green  Valley Adventure Mahasu  Peak Nature ,4,17406,15839,9
593,South Weekend Trip Package,4,3,Coorg,Coorg ,1,Adventure Nature Sightseeing,3,20783,16499,21
594,Perfect Family Tour To Lansdowne With Family,2,1,Lansdowne,Lansdowne ,1,Nature Adventure Jungle  Trail Shopping Hill station ,4,5192,4725,9
595,Enthralling Rameshwaram Tour Package,3,2,Rameshwaram,Rameshwaram ,1,Sightseeing Adventure Temples Nature Shopping Historical ,4,12736,11590,9
596,Refreshing Ranikhet Tour Package,2,1,Ranikhet,Ranikhet ,1,Ideal for friends Hill station Ideal for families Nature Adventure Sightseeing ,3,7418,6825,8
597,Chopta Tungnath Chandrashila Camping Tour Package,2,1,Chopta,Chopta ,1,Ram  Jhula Trekking Laxman  Jhula Adventure ,2,6847,6299,8
598,Auli Honeymoon,4,3,Auli,Auli ,1,Auli ropeway Skiing Lake Adventure Nature Romantic ,3,13548,12600,7
599,Himachal Tour Package,3,2,Shimla,Shimla ,1,Mountains  Adventure Watersports Nature Snow  View  ,3,10215,9500,7
600,azzling Kerala Trip Package,4,3,Munnar,"Munnar ,Alleppey ",2,Munnar Ayurvedic Alleppey Nature Adventure Religious ,3,11868,10800,9
601,ive Into The Serenity Of Manali,4,3,Manali,Manali ,1,Adventure sports Adventure Rohtang  Pass Nature Solang  ,3,12365,11499,7
602,Riveting Ladakh Tour Package,7,6,Leh,"Leh ,Nubra Valley ,Pangong ",3,Khardung  La Historical Pangong  Tso Religious ,3,27220,24498,10
603,    Ladakh Tour Package,5,4,Leh,"Leh ,Nubra Valley ,Pangong ",3,Sightseeing Adventure Nature Himalayas Hill station Religious ,3,27173,24999,8
604,ivine Char ham Tour Package,12,11,Haridwar,"Haridwar ,Barkot ,Uttarkashi ,Sitapur ,Badrinath ,Srinagar Garhwal ",6,Temple  Tour Trekking Adventure Sightseeing Nature ,2,25384,23099,9
605,Spiti Valley Road Trip Tour Package,9,8,Shimla,"Shimla ,Narkanda ,Sangla ,Kalpa ,Tabo ,Kaza ,Chandra Tal ",7,Himalayan  National  Park Nature Valleys Adventure ,3,47952,44595,7
606,Enjoying the Vibes at Alleppey,3,2,Alleppey,Alleppey ,1,Alleppey Adventure Sightseeing Nature Houseboat  Stay ,3,16673,15172,9
607,Memorable Holiday To orth Sikkim,8,7,Gangtok,"Gangtok ,Lachen ,Lachung ,Darjeeling ",4,Tsomgo  Lake Waterfall Baba  Mandir Nature ,2,61900,56948,8
608,"Joyous Munnar, Kovalam Tour Package",6,5,Munnar,"Munnar ,Thekkady ,Kovalam ",3,Eravikulam  National  Park Water  Activities Tea gardens ,3,16909,14880,12
609,Gangtok Kalimpong arjeeling Family Package,6,5,Gangtok,"Gangtok ,Kalimpong ,Darjeeling ",3,Tsomgo  Lake Nature Durpin  Dara Adventure ,2,52836,49137,7
610,South India Sightseeing Tour Package,6,5,Ooty,"Ooty ,Coorg ,Mysore ,Bangalore ",4,Adventure Water  Activities Nature Budget,4,32467,30194,7
611,Special Shimla Tour Package,5,4,Shimla,Shimla ,1,Nature  Park Adventure Nature Sightseeing Hill station ,3,38294,34848,9
612,Mystical Mysore Sightseeing Tour Package,5,4,Ooty,"Ooty ,Mysore ",2,Sightseeing Nature Valleys Adventure Ancient architecture Historical ,3,20780,18910,9
613,Gujarat Tour Package,7,6,Ahmedabad,"Ahmedabad ,Dwarka ,Veraval ,Diu ,Sasan Gir ",5,Gandhi  J I  Ashram Religious Gir  ,3,27795,25849,7
614,Best Chopta Tungnath Chandrashila Tour Package,2,1,Chopta,Chopta ,1,Trekking Adventure Bird  Watching Nature Adventure  ,2,5645,5250,7
615,Sikkim arjeeling Gangtok Trip Package,6,5,Gangtok,"Gangtok ,Darjeeling ",2,Adventure Nature Hill station,3,126464,109212,14
616,Sikkim Tour Package,8,7,Gangtok,"Gangtok ,Lachen ,Lachung ,Darjeeling ",4,Lake Adventure Mountainous ranges Nature Natural  Beautylandscapegroup ,2,61900,56948,8
617,ainital Tour Package,3,2,Nainital,Nainital ,1,Adventure Nature Hill station Lakes Religious Budget,3,9130,8400,8
618,Mesmerising Ooty Sightseeing Tour Package,4,3,Ooty,Ooty ,1,Wax  World Hill station Deer  Park Water  ,3,16758,15250,9
619,Ooty Tour Package,2,1,Ooty,"Ooty ,Coonoor ",2,Deer  Park Nature Dolphin  Nose Adventure ,3,11544,10736,7
620,Coorg Tour Package,2,1,Coorg,Coorg ,1,Churches Adventure Waterfalls Nature Jungle Sightseeing ,3,10101,9394,7
621,Panchgani Honeymoon,3,2,Panchgani,Panchgani ,1,River  Rafting Adventure Wildlife safari Water  Activities ,3,11290,10500,7
622,Charismatic Kerala Trip Package,5,4,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Waterfalls Nature Houseboat  Stay Adventure Backwaters ,3,14991,13642,9
623,Golden Triangle Tour Package,6,5,Agra,"Agra ,New Delhi ,Varanasi ",3,Nature Religious Historical Budget,3,20108,18499,8
624,Pondicherry Sightseeing Tour Package,3,2,Pondicherry,Pondicherry ,1,Botanical  Garden Adventure War  Memorial Nature ,2,15484,14090,9
625,Incredible haramshala Honeymoon,4,3,Dharamshala,Dharamshala ,1,Bhagsu  Nag  Falls Nature Naddi  Village  ,3,20887,19007,9
626,Mussoorie Tour Package,3,2,Mussoorie,Mussoorie ,1,Waterfalls Nature Company  Garden Adventure Hills ,3,13548,12600,7
627,Blissful Lansdowne Honeymoon,2,1,Lansdowne,Lansdowne ,1,Nature Adventure Boating Hill station Historical  Tour ,4,12692,11550,9
628,Head out on a thrill-seeking holiday in Jim Corbett,3,2,Jim Corbett,Jim Corbett ,1,Jeep  Safari Wildlife Jungle  Safari Nature ,4,11413,10500,8
629,Stunning Kerala Trip Package,4,3,Munnar,"Munnar ,Alleppey ",2,Fort  Cochin attractions Adventure Munnar Nature Alleppey ,3,11868,10800,9
630,Best arjeeling     Tour Package,5,4,Gangtok,"Gangtok ,Darjeeling ",2,Mirik Nature Mountains  Adventure Batasia  Loop ,3,24467,22754,7
631,Enticing Tour To Romantic Coorg,5,4,Coorg,"Coorg ,Ooty ",2,Shopping Sightseeing Nature Leisure  Time Hill station ,3,22120,20129,9
632,Family Getaway To Fascinating Coorg,3,2,Coorg,Coorg ,1,  Arrival Adventure Shopping Nature Sightseeing ,3,19439,17689,9
633,Scintillating Ranikhet Tour Package,3,2,Nainital,"Nainital ,Ranikhet ",2,Scenic roadtrip Nature Hills Lakes Ideal for families Religious ,3,9807,8924,9
634,Gangtok Tour Package,7,6,Gangtok,"Gangtok ,Pelling ,Darjeeling ",3,Sightseeing Adventure Nature Hill station Trekking Historical ,3,80532,74089,8
635,Himachal Tour Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ",4,Adventure Nature Hill station Budget,3,32609,30000,8
636,Pleasurable Kashmir Tour Package,5,4,Srinagar,Srinagar ,1,Sightseeing Glaciers Mountains  Cable  Car  Ride ,4,46154,42000,9
637,"Enjoy The Beautiful Serene Views Of ainital, Ranikhet And Kausani",5,4,Nainital,"Nainital ,Ranikhet ,Kausani ",3,Hill  Station Hill station Adventure Wildlife Nature ,3,20769,18900,9
638,Ladakh Car Trip Package,10,9,Manali,"Manali ,Jispa ,Leh ,Nubra Valley ,Pangong ",5,Hadimba  Devi  Temple Adventure Magnetic  Hill ,3,21738,19999,8
639,Sikkim is A ature Loverâs Paradise,8,7,Gangtok,"Gangtok ,Ravangla ,Pelling ,Kalimpong ",4,Tsomgo  Lake Adventure Baba  Mandir Nature ,2,50530,46488,8
640,Mystical Tirupati Tour Package,3,2,Chennai,"Chennai ,Tirupati ",2,Chennai Religious Snake  Park Historical Marine  ,2,14009,12748,9
641,Welcome To The Jungle-A Corbett Tour Package,2,1,Jim Corbett,Jim Corbett ,1,Jungle  Safari Hill station Corbett  Museum Adventure ,4,5769,5250,9
642,Goa eal Tour Package,4,3,Goa,Goa ,1,Adventure Sightseeing Nature,3,16550,14999,9
643,Enchanting Mount Abu Honeymoon,4,3,Udaipur,"Udaipur ,Mount Abu ",2,Hill  Station Hill station Sightseeing Adventure Historic sightseeing ,4,13186,11999,9
644,Shillong Tour Package,3,2,Shillong,Shillong ,1,Nature Adventure Hill station Mountainscuisine  Cultural Sightseeing ,3,16666,15499,7
645,A Mesmerizing Shillong Honeymoon,3,2,Shillong,Shillong ,1,Guwahati Historical Cherrapunjee Elephant  Falls Nature ,3,19230,17499,9
646,Appealing Thekkady Kochi Munnar Honeymoon,5,4,Munnar,"Munnar ,Thekkady ,Cochin ,Kochi ",4,Hill station Nature Wildlife safari Wildlife Historical  Sites ,3,17912,16300,9
647,Magical Leh-Ladakh Honeymoon,7,6,Leh,"Leh ,Kargil ,Srinagar ",3,Romantic Road  Trip Private  Cab Adventure ,3,34780,31998,8
648,Goa Honeymoon,4,3,Goa,Goa ,1,Water  Activities Adventure Beach Budget,3,28695,26399,8
649,Breathtaking Jim Corbett Sightseeing Tour Package,3,2,Jim Corbett,Jim Corbett ,1,Sightseeing Nature Wildlife safari Wildlife Temple Adventure ,4,9807,8924,9
650,An Amazing Odisha Tour Package,7,6,Bhubaneshwar,"Bhubaneshwar ,Puri ",2,Puri tour Nature Local sightseeing Religious Sun  Temple ,3,24725,22500,9
651,Enchanting Uttarakhand Honeymoon,4,3,Mussoorie,"Mussoorie ,Rishikesh ",2,Gita  Bhawan Ganga  Aarti at  Parmarth  Niketan ,3,16153,14699,9
652,Majestic Meghalaya Honeymoon,4,3,Shillong,"Shillong ,Cherrapunjee ",2,Waterfalls Historical Sightseeing Adventure Nature Caves ,3,21978,20000,9
653,Magical Kerala Honeymoon,6,5,Munnar,"Munnar ,Thekkady ,Kumarakom ,Kochi ",4,Hills Cruises Wildlife Hill station Waterfalls Safari ,3,23646,19592,17
654,"Astonishing Munnar, Kovalam Honeymoon",6,5,Munnar,"Munnar ,Thekkady ,Kovalam ",3,Mattupetty  Dam Wildlife Eravikulam  National  Park ,3,16484,14836,10
655,Panoramic Kodaikanal Family Tour,3,2,Kodaikanal,Kodaikanal ,1,Sightseeing Shopping Leisure  Day Lakes Road journey ,2,15417,14029,9
656,Fantastic Lansdowne Tour Package,3,2,Lansdowne,Lansdowne ,1,Nature Adventure Hill station Boating Campingshopping Hiking ,3,9230,8399,9
657,Romantic Jim Corbett ational Park Honeymoon,3,2,Jim Corbett,Jim Corbett ,1,Sightseeing Nature Adventure Hill station Safari Wildlife ,4,18430,17324,6
658,A Fun-Filled   Tour To Sikkim,10,9,Gangtok,"Gangtok ,Lachen ,Lachung ,Pelling ,Darjeeling ",5,Tsomgo  Lake Adventure Temple Nature Valleys ,3,78730,73219,7
659,Rameshwaram Tour Package,2,1,Rameshwaram,Rameshwaram ,1,Sri  Meenakshi  Temple Nature Religious  Tour ,3,11544,10736,7
660,Golden Triangle Tour Package,10,9,New Delhi,"New Delhi ,Agra ,Jaipur ,Jodhpur ,Udaipur ",5,Nature Adventure Religious Budget,3,43478,40000,8
661,Gangtok Tour Package,6,5,Gangtok,"Gangtok ,Darjeeling ",2,Tiger  Hill Nature Teesta  River Adventure ,4,48737,45325,7
662,Best Selling Gujarat Sightseeing Tour Package,5,4,Jamnagar,"Jamnagar ,Dwarka ,Veraval ,Sasan Gir ,Gir ",5,Temple Nature Jungle  Safari Water  Activities ,3,20549,18700,9
663,Extravagant Karnataka Honeymoon,6,5,Ooty,"Ooty ,Coorg ,Mysore ",3,Mysore  Palace Adventure Doddabetta  Peak Nature ,3,22120,20129,9
664,Kerala Tour Package,9,8,Kochi,"Kochi ,Munnar ,Thekkady ,Alleppey ,Kovalam ",5,Beach  Tour Adventure Lakes Nature Sunset ,3,25798,23992,7
665,hanaulti Tour Package,3,2,Dhanaulti,Dhanaulti ,1,Eco  Park Waterfalls Jain  Temples Nature ,3,9032,8400,7
666,Kashmir Tour Package,4,3,Srinagar,Srinagar ,1,Nature Shikara  Ride Mountains  Adventure Shalimar  ,3,15426,14500,6
667,Charismatic Kerala Family Tour ,5,4,Munnar,"Munnar ,Thekkady ,Alleppey ",3,Arrival Nature Sightseeing Adventure Backwaters Water  ,4,14307,13019,9
668,Enjoy An Enchanting Vacation In Haridwar Rishikesh,2,1,Rishikesh,Rishikesh ,1,Adventure Sightseeing Hill station Religious  Tour Water  ,3,9230,8399,9
669,Jammu And Kashmir Family Getaway With Vaishno evi,7,6,Katra,"Katra ,Srinagar ",2,Dal  Lake Mughal  Gardens Gondola  Ride ,3,35165,32000,9
670,Spellbinding Kashmir Tour Package,3,2,Srinagar,Srinagar ,1,Himalayas Hill station Sightseeing Nature Shikara  Ride ,4,21739,20000,8
671,Exclusive   Shimla Tour Package,3,2,Shimla,Shimla ,1,Mountains  Adventure Watersports Hill station Snow  View  ,3,17741,16499,7
672,Royal Rajasthan Tour Package,4,3,Jodhpur,"Jodhpur ,Jaisalmer ",2,Jaisalmer Adventure Jodhpur Historical Sonar  Kila ,3,10989,10000,9
673,Amazing Himachal Tour Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ",4,Hadimba  Temple Hill station Rohtang  Pass Nature ,4,101739,93600,8
674,Kanatal Tour Package,5,4,Rishikesh,"Rishikesh ,Dehradun ,Mussoorie ",3,Deer  Park Adventure Dam Nature Caves ,4,15978,14700,8
675,Andaman Tour Package,5,4,Port Blair,"Port Blair ,Havelock ",2,Cellular  Jail  Adventure Beach  Tour Water  ,2,19577,18207,7
676,Kochi City Tour Package,2,1,Kochi,Kochi ,1,Adventure Nature Best sellers,3,3613,3324,8
677,Mesmerizing Coorg Family Tour Package,5,4,Coorg,"Coorg ,Ooty ",2,Dubare  Reserve  Forest Water  Activities Wax  ,5,39549,35990,9
678,Exciting Family Holiday in Leh-Ladakh,7,6,Leh,"Leh ,Kargil ,Srinagar ",3,Ideal for families Nature Historical Adventure Road  Trip ,3,33332,31999,4
679,Panchgani Sightseeing Tour Package,3,2,Panchgani,Panchgani ,1,Local sightseeing Adventure Waterfalls Nature Caveslandscape Forts,4,15934,14500,9
